Year,Corporation Name,School Corporation,Occupancy Ratio,Human Capital Ratio,Instruction Ratio
2019,The Excel Center - Richmond,9305,0.05676591912429385,0.35652188472945945,0.25933801578588433
2019,The Excel Center - Lafayette,9345,0.09024482273104321,0.3760896523241907,0.2356405652825804
2019,The Excel Center - Kokomo,9355,0.05877289016062689,0.3852628797174077,0.2776973418066029
2019,Christel House Academy South,9380,0.0841217237605553,0.5661324655825793,0.45684772024518
2019,Christel House DORS South,9385,0.11251484859496061,0.4291226681468322,0.2550431752509136
2019,Christel House Academy West,9395,0.1156656799083882,0.46134059215471673,0.3871649445294949
2019,The Excel Center - Anderson,9750,0.07717019668413806,0.34065871162943684,0.24091292065021422
2019,Excel Center - Noblesville,9855,0.05295080208501376,0.38034012304484455,0.27461213539771745
2019,Gary Middle College,9885,0.03102543361573226,0.4225676011835944,0.35991057667639426
2019,Excel Center - South Bend,9900,0.024701832515356556,0.26960901807139864,0.19171578162015138
2019,Phalen Ldrshp Acad - IN Inc,9925,0.029891704727778825,0.22262632427236106,0.16816060627515236
2019,ACE Preparatory Academy,9970,0.10709188119608964,0.5364162279850248,0.513605196935374
2019,Steel City Academy,9980,0.022569038337083274,0.5344201295307109,0.41685329711398844
2019,Heritage Institute of Arts & Tech,9990,0.07387863691446715,0.3252321500254071,0.2665060982415325
2019,Excel Center - Shelbyville,9995,0.07320070738942777,0.3752346639133302,0.2797454343376843
